1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E XX 
3 A 3 B 3 C 3 D XX 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C XX 6 E 6 F 
7 A 7 B XX 7 D 7 E 7 F 
8 A XX 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B XX 11D 11E XX 
12A XX XX 12D 12E XX 
XX 13B XX 13D 13E 13F 
14A 14B XX 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
XX XX 16C 16D 16E 16F 
17A 17B 17C 17D XX 17F 
18A 18B 18C 18D 18E XX 
19A XX 19C 19D 19E 19F 
20A 20B 20C XX 20E 20F 
21A 21B XX XX 21E 21F 
22A XX 22C 22D XX 22F 
23A 23B 23C 23D XX 23F 
24A XX 24C 24D XX 24F 
25A 25B 25C 25D XX 25F 
26A XX 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A XX 28C 28D 28E 28F 
29A 29B 29C 29D 29E XX 
30A 30B 30C XX 30E 30F 
