1 A 1 B XX 1 D 1 E 1 F 
XX 2 B 2 C 2 D 2 E 2 F 
XX 3 B 3 C 3 D 3 E XX 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A XX 6 C XX 6 E 6 F 
7 A 7 B XX 7 D 7 E 7 F 
XX XX 8 C XX 8 E 8 F 
9 A 9 B XX 9 D 9 E 9 F 
10A XX 10C 10D 10E 10F 
11A 11B 11C 11D 11E XX 
XX 12B 12C 12D 12E 12F 
XX 13B 13C 13D 13E 13F 
14A 14B 14C 14D XX 14F 
15A 15B XX 15D 15E 15F 
XX 16B 16C XX 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B XX 19D 19E 19F 
20A 20B 20C 20D 20E XX 
21A 21B 21C 21D XX XX 
XX 22B XX 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C XX 25E 25F 
26A 26B 26C 26D 26E 26F 
XX 27B 27C 27D XX 27F 
28A 28B 28C 28D 28E 28F 
XX 29B 29C 29D 29E 29F 
30A 30B 30C XX 30E 30F 
