1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX XX 11D 11E 11F
12A 12B XX 12D 12E 12F
13A XX 13C XX 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX XX 17F
18A XX 18C 18D 18E XX
19A 19B 19C 19D XX 19F
XX 20B 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
XX 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
