1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
XX 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A XX 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
10A XX XX 10D 10E 10F
11A 11B 11C XX 11E 11F
XX 12B 12C XX 12E 12F
XX 13B XX XX 13E 13F
14A 14B XX 14D 14E XX
XX 15B 15C XX 15E 15F
16A 16B 16C 16D XX XX
17A XX 17C 17D 17E 17F
18A 18B XX XX 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX XX 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D XX XX
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A XX 28C 28D 28E XX
29A 29B 29C XX 29E XX
30A 30B 30C XX 30E 30F
