1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C XX 6E 6F
XX 7B 7C 7D XX 7F
8A 8B 8C 8D XX XX
9A 9B 9C 9D XX 9F
10A 10B 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D XX 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C XX XX 15F
16A 16B XX 16D XX 16F
17A 17B 17C XX 17E 17F
XX 18B 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B XX 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D XX 26F
27A XX 27C 27D 27E 27F
28A XX 28C XX 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
