1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
11A 11B 11C 11D XX 11F
12A XX 12C XX 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E XX
15A XX 15C 15D XX 15F
XX 16B 16C 16D XX 16F
17A 17B 17C 17D XX 17F
XX 18B 18C 18D XX 18F
XX 19B 19C XX 19E 19F
20A XX XX 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E XX
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
