1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C XX 3 E 3 F 
4 A 4 B 4 C 4 D 4 E XX 
5 A XX 5 C 5 D 5 E 5 F 
6 A 6 B XX 6 D XX 6 F 
7 A 7 B 7 C 7 D 7 E XX 
XX 8 B XX 8 D 8 E 8 F 
9 A 9 B 9 C XX 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C XX 13E 13F 
XX 14B 14C 14D 14E XX 
15A XX XX 15D 15E 15F 
16A 16B 16C 16D XX 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D XX XX 
19A XX 19C 19D 19E 19F 
20A 20B 20C 20D 20E XX 
XX 21B XX 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E XX 
25A XX 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
XX 27B 27C 27D 27E 27F 
XX 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A XX 30C 30D 30E XX 
