1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D XX 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C XX 7E XX
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX XX 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B XX XX 18E 18F
19A 19B XX 19D 19E 19F
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E XX
25A 25B XX XX 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A XX 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
30A 30B 30C 30D XX XX
