1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C XX XX 3F
4A 4B 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX XX 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
XX 11B 11C XX XX XX
12A 12B 12C XX 12E 12F
13A XX XX XX XX 13F
XX 14B 14C 14D 14E 14F
XX 15B XX 15D 15E 15F
16A XX 16C 16D 16E XX
17A 17B 17C 17D XX XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
