1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
XX 6B 6C 6D 6E XX
7A 7B 7C 7D 7E XX
8A 8B XX 8D 8E 8F
9A 9B XX 9D 9E 9F
10A XX 10C XX XX XX
11A 11B 11C 11D XX 11F
12A 12B XX 12D 12E 12F
XX XX 13C 13D XX XX
14A 14B 14C 14D XX 14F
15A XX 15C 15D 15E 15F
16A XX 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D XX XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
XX 22B 22C 22D 22E 22F
XX 23B XX 23D 23E 23F
24A 24B 24C 24D XX 24F
XX 25B 25C XX 25E 25F
XX 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B XX XX 30E 30F
