1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX XX
6A 6B XX XX 6E 6F
7A 7B 7C 7D XX XX
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D XX 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E XX
13A 13B 13C 13D 13E XX
14A 14B XX 14D 14E 14F
15A XX 15C XX 15E 15F
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
XX 18B XX 18D XX 18F
XX 19B 19C 19D XX 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D XX 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A XX XX 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
