1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E XX
4A XX XX 4D 4E 4F
5A 5B 5C XX XX 5F
XX 6B XX XX 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D XX XX
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E XX
12A 12B XX 12D 12E 12F
XX 13B 13C XX 13E XX
XX 14B 14C XX 14E 14F
15A 15B XX 15D 15E XX
16A XX 16C 16D 16E 16F
17A 17B XX 17D XX 17F
18A 18B 18C XX 18E XX
19A 19B XX 19D 19E 19F
20A XX 20C 20D 20E XX
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D XX 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C XX 28E XX
29A XX 29C 29D 29E 29F
XX 30B XX 30D 30E 30F
