1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E XX
4A 4B XX XX 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C XX XX 6F
XX XX 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D XX 10F
11A 11B 11C XX 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D XX 16F
17A 17B 17C XX 17E 17F
XX 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E XX
24A 24B XX XX 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX XX XX
28A 28B 28C 28D 28E XX
29A XX 29C 29D 29E XX
30A XX 30C 30D 30E 30F
