1 A 1 B 1 C 1 D 1 E 1 F 
2 A XX 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D XX 3 F 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
XX 7 B 7 C 7 D XX 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C 12D 12E XX 
XX 13B XX 13D XX 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C XX 15E 15F 
16A 16B XX 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E XX 
20A 20B XX XX XX 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B XX 23D 23E XX 
24A 24B 24C 24D 24E 24F 
25A 25B 25C XX 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A XX 28C XX 28E 28F 
29A 29B XX XX 29E 29F 
30A 30B 30C 30D XX 30F 
