1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B XX 3D 3E XX
4A 4B 4C 4D 4E 4F
5A XX 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A XX 7C XX 7E 7F
8A 8B 8C 8D 8E XX
XX 9B 9C 9D XX 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX XX 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E XX
XX 16B XX XX 16E 16F
17A 17B XX 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A XX 24C XX 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D 30E 30F
