1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
XX 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B XX 13D XX 13F
14A XX 14C XX 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D XX XX
XX 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D XX 26F
27A 27B 27C XX 27E 27F
28A XX 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
