1 A 1 B 1 C XX 1 E 1 F 
XX 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D XX 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A XX 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D XX 9 F 
10A 10B XX 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A XX 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E XX 
19A XX 19C 19D 19E 19F 
XX XX 20C 20D 20E 20F 
21A 21B 21C 21D 21E XX 
XX 22B 22C 22D XX 22F 
XX 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A XX 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E XX 
28A XX 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C XX 30E 30F 
