1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D 4E XX
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
XX 10B XX 10D 10E 10F
11A 11B 11C 11D 11E XX
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A XX 16C 16D 16E XX
17A 17B XX 17D 17E 17F
XX 18B 18C 18D XX 18F
19A XX XX 19D 19E XX
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A XX 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
