1A 1B 1C 1D 1E 1F
XX 2B 2C XX XX XX
3A 3B 3C 3D 3E XX
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A XX 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX XX 14D 14E 14F
XX 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A XX 17C 17D 17E XX
18A 18B 18C 18D 18E XX
19A 19B XX 19D 19E 19F
XX 20B XX 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E XX
23A 23B XX 23D XX 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E XX
27A 27B 27C XX 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E XX
