1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B XX 3D 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C XX XX 5F
XX 6B XX 6D 6E 6F
7A XX 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C XX 19E 19F
XX 20B XX XX 20E 20F
21A 21B 21C XX XX 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D XX XX
24A 24B 24C 24D 24E 24F
25A 25B 25C XX XX 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E XX
29A 29B 29C 29D XX 29F
30A 30B XX 30D 30E XX
