1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
XX 3B 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A XX 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E XX
8A 8B XX 8D 8E 8F
9A 9B XX 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E XX
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B XX XX 15E 15F
XX 16B 16C 16D 16E 16F
XX XX 17C 17D 17E XX
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
