1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C XX 4 E 4 F 
5 A 5 B 5 C 5 D XX XX 
6 A 6 B 6 C 6 D XX 6 F 
7 A 7 B 7 C 7 D 7 E XX 
8 A XX XX XX 8 E XX 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A XX XX 12D XX 12F 
13A 13B XX 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B XX 15D 15E 15F 
16A 16B 16C XX 16E XX 
17A 17B 17C XX 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
XX 22B 22C 22D 22E 22F 
23A 23B 23C 23D XX 23F 
24A 24B XX XX 24E 24F 
25A 25B 25C 25D 25E 25F 
XX 26B 26C 26D 26E XX 
27A XX XX 27D 27E XX 
28A 28B 28C 28D 28E 28F 
29A XX 29C 29D 29E 29F 
30A 30B 30C 30D XX 30F 
