1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
XX XX 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX XX 8E 8F
9A 9B 9C XX 9E 9F
XX XX XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B XX 15D 15E 15F
16A XX 16C 16D 16E 16F
17A XX 17C 17D XX XX
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E XX
22A 22B 22C XX 22E 22F
23A 23B 23C XX 23E XX
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C XX 26E 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D XX 28F
29A 29B XX XX 29E 29F
30A 30B 30C 30D 30E 30F
