1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A XX 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A XX 9C 9D 9E XX
10A 10B 10C 10D 10E XX
11A 11B 11C XX XX 11F
12A 12B 12C XX 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
XX 17B 17C 17D XX 17F
18A XX 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
XX 20B 20C 20D 20E 20F
21A XX 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
XX 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A XX 25C XX 25E 25F
26A XX 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A XX 28C XX XX 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
