XX 1 B 1 C 1 D 1 E XX 
2 A 2 B 2 C 2 D XX 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A XX 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C XX 12E 12F 
13A 13B 13C XX 13E XX 
14A 14B 14C 14D XX 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C XX 16E XX 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E XX 
20A 20B XX 20D 20E 20F 
21A XX 21C 21D 21E XX 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B XX 24D XX 24F 
25A XX XX 25D 25E 25F 
26A 26B 26C 26D 26E XX 
27A 27B 27C 27D XX XX 
28A 28B 28C XX 28E 28F 
XX 29B 29C XX 29E 29F 
30A 30B 30C 30D 30E 30F 
