1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E XX
3A 3B 3C 3D 3E 3F
XX 4B 4C XX XX 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
11A 11B XX 11D 11E XX
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX XX 14C 14D XX 14F
15A XX 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C 20D 20E 20F
21A 21B 21C XX 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D XX XX
27A XX 27C 27D 27E XX
28A XX XX XX 28E 28F
29A 29B 29C 29D 29E 29F
XX XX 30C XX 30E 30F
