1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E XX
8A 8B XX 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D XX XX
12A XX 12C 12D 12E 12F
XX XX 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A 16B 16C XX 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E 21F
XX 22B 22C XX 22E XX
XX 23B 23C 23D 23E 23F
XX 24B XX XX 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C XX 29E 29F
30A 30B 30C 30D 30E 30F
