1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A XX 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D XX XX
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E XX
13A 13B 13C XX 13E 13F
14A XX 14C 14D 14E XX
15A XX 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E XX
28A XX 28C XX 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C XX XX 30F
