1A 1B 1C 1D 1E 1F
2A 2B XX 2D XX 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C XX 6E 6F
7A XX 7C 7D 7E XX
8A XX 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
XX 14B 14C 14D 14E 14F
15A 15B XX 15D XX 15F
XX 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B XX 22D 22E 22F
XX 23B XX XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
