1 A 1 B 1 C 1 D 1 E 1 F 
2 A XX XX 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B XX XX 5 E 5 F 
XX 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C XX 7 E XX 
8 A 8 B 8 C XX 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D XX 12F 
XX 13B 13C XX 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D XX XX 
16A 16B 16C 16D 16E XX 
XX 17B 17C XX 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
21A XX XX 21D 21E 21F 
XX 22B 22C 22D 22E 22F 
23A 23B 23C 23D XX 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B XX XX 27E 27F 
28A 28B 28C 28D XX 28F 
29A 29B XX 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
