1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D XX 4F
5A 5B XX 5D 5E XX
6A 6B 6C XX 6E 6F
7A 7B 7C XX 7E 7F
XX 8B 8C 8D XX 8F
9A 9B 9C 9D XX 9F
10A XX 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B XX 12D 12E 12F
13A 13B XX 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
XX XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
XX 24B 24C 24D 24E XX
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A 27B XX 27D 27E 27F
XX XX 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D XX 30F
