1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX XX XX 3E 3F
4A XX 4C 4D XX 4F
XX XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B XX 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B XX 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E 18F
XX 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX XX
22A 22B XX 22D 22E 22F
23A XX 23C XX 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
