1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
5A XX 5C 5D 5E 5F
6A XX 6C 6D XX XX
7A XX 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C XX 13E XX
14A 14B 14C 14D XX XX
15A XX 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B XX XX XX 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
