1A 1B 1C 1D 1E 1F
2A 2B 2C XX XX 2F
3A 3B 3C 3D 3E XX
4A XX XX XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E XX
8A 8B 8C 8D XX 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D 11E 11F
XX 12B 12C XX 12E 12F
XX 13B 13C XX 13E 13F
XX 14B 14C 14D 14E XX
XX 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
XX XX 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
XX XX 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A XX 27C 27D 27E 27F
XX 28B 28C XX 28E XX
29A 29B XX 29D 29E XX
30A XX XX 30D 30E 30F
