1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E XX
XX XX 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
8A XX XX 8D 8E 8F
9A XX XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B XX XX 13E 13F
14A 14B 14C 14D 14E XX
XX XX 15C 15D 15E 15F
XX 16B 16C 16D XX 16F
17A 17B XX XX 17E 17F
18A 18B 18C XX 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C XX XX 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E XX
23A 23B XX XX 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C XX XX 25F
26A 26B 26C 26D 26E 26F
27A XX 27C 27D XX 27F
28A XX 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
