1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
XX 7B 7C 7D 7E XX
8A 8B XX XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B XX 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E XX
17A 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B XX 23D XX 23F
XX 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
XX 29B XX 29D 29E 29F
XX 30B 30C XX 30E 30F
