1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A 7B XX XX 7E XX
8A 8B XX 8D XX 8F
9A 9B 9C 9D 9E 9F
XX XX 10C 10D 10E XX
11A XX 11C XX 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C XX 13E XX
14A XX XX 14D 14E 14F
XX 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A XX XX 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B XX 19D XX 19F
20A 20B 20C 20D XX 20F
21A 21B 21C 21D 21E XX
22A 22B 22C XX 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX XX 24E 24F
25A 25B XX XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
