1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E XX
3A XX 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C 5D XX 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E XX
XX XX 9C 9D 9E 9F
10A 10B XX 10D XX 10F
11A XX 11C 11D 11E XX
12A XX 12C 12D 12E XX
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D XX XX
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E XX
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
XX 24B XX 24D 24E 24F
25A 25B 25C XX XX 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C XX 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
