1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C XX XX 6F
7A 7B 7C 7D 7E 7F
8A XX XX 8D 8E 8F
9A XX XX 9D 9E XX
XX 10B 10C 10D 10E XX
11A XX XX 11D 11E XX
XX 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E XX
15A 15B 15C XX 15E XX
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX XX XX 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
XX 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E XX
27A 27B XX 27D 27E 27F
XX 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
