1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E XX 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D XX 11F 
12A 12B XX 12D 12E XX 
13A 13B 13C 13D 13E 13F 
14A 14B XX 14D 14E 14F 
15A 15B 15C XX 15E XX 
16A 16B 16C XX 16E XX 
17A 17B 17C XX 17E 17F 
18A 18B 18C 18D XX 18F 
19A XX 19C XX 19E 19F 
20A 20B 20C 20D XX 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E XX 
XX XX XX 26D 26E 26F 
27A XX 27C 27D 27E 27F 
28A 28B 28C XX 28E 28F 
29A XX 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
