1A 1B 1C 1D 1E 1F
2A 2B 2C XX XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
XX XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C XX 8E 8F
XX 9B 9C 9D 9E 9F
10A XX XX 10D 10E 10F
11A 11B 11C 11D 11E XX
12A XX 12C 12D 12E 12F
13A XX 13C 13D 13E XX
14A 14B 14C XX 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
XX XX 18C 18D 18E 18F
19A 19B 19C 19D XX XX
20A 20B 20C 20D 20E 20F
XX 21B 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C XX XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E XX
