1A 1B 1C 1D 1E 1F
2A 2B 2C XX XX 2F
3A XX 3C 3D 3E 3F
XX XX 4C 4D XX 4F
XX 5B 5C 5D 5E XX
XX XX 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C XX 8E 8F
9A XX 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX XX 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C XX 13E 13F
XX 14B XX XX 14E XX
15A XX 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E XX
18A 18B 18C XX 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E XX
23A 23B XX 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B 25C XX 25E XX
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
