1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D XX 4F
5A XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX XX 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E 12F
XX 13B XX 13D 13E 13F
14A 14B XX 14D 14E XX
XX 15B 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B XX 23D 23E XX
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E XX
XX 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D XX 30F
