1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
XX XX 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
XX XX XX 5D XX 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B XX 9D 9E XX
XX 10B XX 10D XX 10F
11A 11B XX XX XX XX
12A 12B 12C 12D 12E 12F
XX XX 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C XX 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E XX
XX 23B 23C 23D 23E XX
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX XX 28D XX 28F
29A XX XX 29D 29E 29F
30A 30B 30C 30D 30E XX
