1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E XX
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C XX XX 8F
9A XX 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
XX 16B XX 16D 16E 16F
17A XX 17C 17D 17E XX
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D XX 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A XX 25C XX 25E 25F
26A XX 26C 26D XX 26F
XX XX 27C 27D 27E XX
28A XX XX 28D 28E 28F
XX 29B 29C XX 29E 29F
XX 30B 30C 30D 30E 30F
