1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
5A 5B 5C 5D XX XX
6A 6B 6C 6D 6E XX
7A 7B XX 7D 7E 7F
XX 8B 8C 8D 8E XX
XX 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B XX 15D 15E 15F
16A 16B 16C XX 16E 16F
17A 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E 18F
19A XX 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C XX 22E XX
23A 23B 23C XX 23E 23F
24A 24B 24C XX 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E XX
29A XX 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
