1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B XX XX XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A XX 16C 16D 16E XX
17A 17B 17C 17D 17E XX
18A 18B 18C XX 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
XX 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D XX XX
27A 27B 27C XX 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
