1A 1B 1C 1D 1E 1F
2A 2B XX 2D XX 2F
3A XX 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
XX 8B XX 8D 8E 8F
9A 9B XX 9D 9E 9F
XX XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX XX 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A XX 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E XX
XX XX 19C XX XX 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
XX 23B 23C 23D XX 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
29A XX XX 29D 29E 29F
30A XX 30C 30D 30E 30F
