1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B XX XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C XX 14E XX
15A XX 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
18A 18B 18C 18D 18E 18F
19A XX XX 19D 19E 19F
20A 20B 20C 20D XX 20F
21A XX 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B XX 26D XX 26F
27A 27B 27C 27D XX XX
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
