1 A 1 B XX 1 D 1 E XX 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
XX XX 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D XX 8 F 
9 A 9 B XX 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C 12D XX 12F 
13A 13B 13C 13D XX 13F 
14A XX 14C 14D 14E 14F 
15A XX 15C XX 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A 20B 20C 20D 20E XX 
XX 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
XX 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
XX 25B 25C XX 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D XX 27F 
28A 28B 28C 28D 28E XX 
XX 29B 29C XX 29E XX 
30A XX XX 30D 30E 30F 
