1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX XX XX 3E XX
4A 4B 4C 4D XX XX
5A XX XX 5D 5E 5F
6A 6B 6C 6D 6E XX
7A XX 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D XX 11F
12A 12B 12C XX XX 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C XX 16E 16F
17A 17B 17C XX XX 17F
18A XX 18C XX 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C XX 20E XX
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A XX 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C XX 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C XX XX 30F
