1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B 6C XX 6E 6F
7A XX 7C 7D 7E 7F
8A 8B XX XX XX XX
9A XX XX 9D XX 9F
10A XX 10C 10D XX 10F
11A XX 11C XX 11E 11F
12A 12B 12C XX 12E 12F
XX 13B 13C XX 13E 13F
14A XX 14C 14D 14E 14F
15A XX 15C XX 15E 15F
16A XX 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B XX 21D XX 21F
22A XX 22C 22D 22E 22F
XX 23B 23C 23D XX 23F
24A 24B 24C 24D XX 24F
25A 25B 25C XX 25E 25F
26A XX XX 26D 26E XX
27A 27B 27C 27D XX 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D XX 30F
