1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
XX 4B 4C XX 4E 4F
5A XX 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E XX
9A 9B XX 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
XX 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX XX 21F
22A XX 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E XX
25A 25B XX 25D XX 25F
XX XX XX XX 26E 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
XX XX 30C XX XX 30F
