1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E XX
5A 5B 5C 5D XX XX
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E XX
9A 9B 9C XX 9E 9F
10A 10B 10C 10D XX 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A XX 14C 14D XX 14F
XX 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
XX 21B 21C 21D 21E 21F
XX 22B XX 22D XX 22F
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D XX XX
26A 26B XX 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D XX 30F
