1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C 5D XX 5F
6A 6B 6C XX 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B XX 9D 9E XX
XX XX 10C XX 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B XX XX 14E 14F
XX 15B 15C XX 15E 15F
XX 16B XX XX 16E 16F
17A 17B 17C 17D XX XX
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B XX XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B XX 23D 23E XX
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
XX 30B 30C 30D XX XX
