1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX XX XX XX
5A XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A XX 15C 15D 15E XX
XX 16B 16C 16D 16E 16F
17A 17B XX 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX XX 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
XX XX 23C 23D XX 23F
XX XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B XX XX XX 26F
27A 27B 27C 27D XX 27F
28A 28B XX 28D 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
