1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
XX 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
XX 5B XX 5D XX 5F
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D XX 14F
15A XX 15C XX 15E XX
16A 16B 16C 16D 16E XX
17A 17B XX 17D XX 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX XX 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX XX 27C 27D XX 27F
28A XX 28C XX 28E XX
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
