1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A XX XX 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX XX
10A XX 10C 10D 10E 10F
XX 11B XX 11D XX 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX XX
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E XX
XX 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A 24B 24C XX 24E XX
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A XX 27C 27D 27E 27F
XX 28B 28C 28D 28E XX
29A 29B 29C 29D 29E XX
30A XX 30C 30D 30E XX
