XX 1 B 1 C 1 D 1 E XX 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C 5 D 5 E XX 
6 A 6 B XX 6 D 6 E 6 F 
7 A XX 7 C 7 D 7 E XX 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D XX 14F 
15A 15B 15C 15D 15E XX 
16A 16B 16C 16D 16E XX 
XX 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A XX XX 19D 19E 19F 
XX XX 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A XX 22C 22D 22E 22F 
23A 23B 23C 23D XX XX 
24A 24B 24C 24D XX XX 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
XX 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
