1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E XX
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
XX 7B 7C XX XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX XX 12C XX 12E 12F
XX 13B 13C 13D 13E 13F
XX 14B XX 14D XX XX
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
XX 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A XX 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A 27B 27C XX 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
