1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A XX 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
8A XX 8C 8D 8E 8F
XX 9B XX 9D 9E 9F
10A 10B 10C 10D 10E XX
XX 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D 14E 14F
15A XX 15C 15D XX 15F
16A 16B XX XX 16E XX
17A 17B 17C 17D XX XX
XX 18B 18C XX 18E XX
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E XX
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A XX XX XX 25E 25F
26A 26B 26C 26D 26E XX
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C XX 29E 29F
30A 30B 30C 30D 30E 30F
