1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
XX 6B 6C 6D 6E XX
7A 7B XX 7D 7E XX
XX 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D XX XX
13A 13B 13C 13D 13E XX
14A XX 14C XX XX 14F
15A XX 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B XX 19D 19E 19F
20A 20B 20C 20D 20E XX
21A 21B XX 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E XX
