1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E XX
3A 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
7A 7B XX 7D 7E 7F
8A 8B XX 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
XX 11B XX XX 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C XX 15E XX
16A XX 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
XX 18B XX XX 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C XX XX 21F
22A 22B 22C XX 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D 25E XX
XX XX 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
XX 30B 30C XX 30E 30F
