1 A 1 B 1 C XX 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D XX 3 F 
4 A 4 B 4 C XX XX 4 F 
5 A 5 B 5 C 5 D 5 E XX 
6 A 6 B 6 C 6 D XX 6 F 
7 A XX 7 C XX 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E XX 
12A XX 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A XX 14C 14D 14E 14F 
15A XX 15C XX 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D XX 17F 
18A 18B XX 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D XX 20F 
21A 21B 21C 21D XX XX 
22A 22B 22C XX 22E 22F 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D XX 26F 
27A 27B XX 27D 27E 27F 
28A XX XX XX 28E 28F 
29A 29B 29C XX 29E 29F 
30A 30B 30C XX 30E 30F 
